dataset,variable,observations,mean,median,minimum,maximum,std_dev,skewness,kurtosis,jarque_bera,jb_pvalue
daily,r_uci,2387,-0.005071861046203545,0.0,-98.96233620568431,80.70147844326554,4.1909920200446145,-4.394832016022345,264.87500202405994,6828388.943163692,0.0
daily,r_fx,2387,0.05820645711552285,0.0,-0.8581257969634493,65.43182820477344,1.3631684965247066,46.27009718840238,2217.8930921414603,488769589.04148024,0.0
weekly,r_uci,500,-0.024213064634575638,0.05699427994625417,-100.13288769145036,79.7970229705701,8.769804706389994,-2.6744533661060697,67.88622219707197,88309.01321328542,0.0
weekly,r_fx,500,0.2775301255585571,0.11809482664073556,-1.3456885322737477,65.43182820477344,2.979193161240192,21.009736558170374,459.4019466478489,4376424.4380191825,0.0
