date,uci,trading_volume,trading_value,usd_uzs,log_uci,log_fx,r_uci,r_fx,zero_return_uci,zero_volume_uci,zero_value_uci,post_reform
2016-11-04,1008.57,6237,12925000.0,3102.18,6.916288765000377,8.039860369132281,0.0,0.0,1,0,0,0
2016-11-07,1008.57,18989,19178890.0,3102.18,6.916288765000377,8.039860369132281,0.0,0.0,1,0,0,0
2016-11-08,1009.74,96520,365018480.8,3120.51,6.917448150953037,8.045751728983609,0.11593859526604078,0.5891359851327493,0,0,0,0
2016-11-09,1009.18,23934,38915254.0,3120.51,6.916893398893162,8.045751728983609,-0.055475205987498555,0.0,0,0,0,0
2016-11-10,1009.18,26662,18667610.0,3120.51,6.916893398893162,8.045751728983609,0.0,0.0,1,0,0,0
2016-11-11,1009.18,4662,10660000.0,3120.51,6.916893398893162,8.045751728983609,0.0,0.0,1,0,0,0
2016-11-14,1009.18,105684,107374720.0,3120.51,6.916893398893162,8.045751728983609,0.0,0.0,1,0,0,0
2016-11-15,1009.18,82498,88286260.0,3138.95,6.916893398893162,8.051643628075396,0.0,0.5891899091787778,1,0,0,0
2016-11-16,1009.13,481388,773059755.0,3138.95,6.9168438524904685,8.051643628075396,-0.004954640269350108,0.0,0,0,0,0
2016-11-17,1009.13,302730,50703500.0,3138.95,6.9168438524904685,8.051643628075396,0.0,0.0,1,0,0,0
2016-11-18,1009.14,12354,6260315.0,3138.95,6.916853761967396,8.051643628075396,0.0009909476927916216,0.0,0,0,0,0
2016-11-21,1009.14,85662,78257610.0,3138.95,6.916853761967396,8.051643628075396,0.0,0.0,1,0,0,0
2016-11-22,1009.14,36864,28941490.0,3157.5,6.916853761967396,8.057535854224646,0.0,0.589222614924978,1,0,0,0
2016-11-23,1009.26,13343197,13284368952.73,3157.5,6.916972668031746,8.057535854224646,0.011890606434938888,0.0,0,0,0,0
2016-11-24,1009.26,9500,26005000.0,3157.5,6.916972668031746,8.057535854224646,0.0,0.0,1,0,0,0
2016-11-25,1009.26,4326,6528704.0,3157.5,6.916972668031746,8.057535854224646,0.0,0.0,1,0,0,0
2016-11-28,1009.48,97104,60380655.0,3157.5,6.917190625768622,8.057535854224646,0.021795773687660613,0.0,0,0,0,0
2016-11-29,1010.6,2206,9947710.0,3176.16,6.918299492857808,8.06342819893186,0.11088670891856722,0.5892344707213226,0,0,0,0
2016-11-30,1010.6,15385,15538850.0,3176.16,6.918299492857808,8.06342819893186,0.0,0.0,1,0,0,0
2016-12-01,1010.6,6914,24301148.0,3176.16,6.918299492857808,8.06342819893186,0.0,0.0,1,0,0,0
2016-12-02,1010.6,129745,27448085.0,3176.16,6.918299492857808,8.06342819893186,0.0,0.0,1,0,0,0
2016-12-05,1010.6,65764,21458045.0,3176.16,6.918299492857808,8.06342819893186,0.0,0.0,1,0,0,0
2016-12-06,1010.6,11973026,166676300.0,3189.93,6.918299492857808,8.067754251964459,0.0,0.4326053032599475,1,0,0,0
2016-12-07,1010.61,35746,74626912.15,3189.93,6.918309387920667,8.067754251964459,0.0009895062858866766,0.0,0,0,0,0
2016-12-09,1010.61,87820,16231820.0,3189.93,6.918309387920667,8.067754251964459,0.0,0.0,1,0,0,0
2016-12-12,1010.61,12500,12625000.0,3189.93,6.918309387920667,8.067754251964459,0.0,0.0,1,0,0,0
2016-12-13,1010.61,17237,17949730.0,3203.7,6.918309387920667,8.07206167084561,0.0,0.43074188811509373,1,0,0,0
2016-12-14,1010.61,296969,73924277.8,3203.7,6.918309387920667,8.07206167084561,0.0,0.0,1,0,0,0
2016-12-15,1010.61,4195,11404990.0,3203.7,6.918309387920667,8.07206167084561,0.0,0.0,1,0,0,0
2016-12-16,1010.5,2238690,277645428.0,3203.7,6.918200536843676,8.07206167084561,-0.010885107699110108,0.0,0,0,0,0
2016-12-19,1010.5,211367,138040230.0,3203.7,6.918200536843676,8.07206167084561,0.0,0.0,1,0,0,0
2016-12-20,1010.5,14092,20192600.0,3217.56,6.918200536843676,8.076378587315057,0.0,0.43169164694472073,1,0,0,0
2016-12-21,1010.61,8400310,113237632.95,3217.56,6.918309387920667,8.076378587315057,0.010885107699110108,0.0,0,0,0,0
2016-12-22,1010.61,44210,75743700.94,3217.56,6.918309387920667,8.076378587315057,0.0,0.0,1,0,0,0
2016-12-23,1010.61,1369,1065225.75,3217.56,6.918309387920667,8.076378587315057,0.0,0.0,1,0,0,0
2016-12-26,1000.36,435146,1262122707.4,3217.56,6.908115214197685,8.076378587315057,-1.0194173722982036,0.0,0,0,0,0
2016-12-27,1000.36,1095513,203018763.0,3231.48,6.908115214197685,8.080695515607518,0.0,0.43169282924608865,1,0,0,0
2016-12-28,1000.88,23730880,2340536241.53,3231.48,6.908634892009145,8.080695515607518,0.05196778114600065,0.0,0,0,0,0
2016-12-29,1000.88,23893,85489154.0,3231.48,6.908634892009145,8.080695515607518,0.0,0.0,1,0,0,0
2016-12-30,1000.88,120618,187548250.0,3231.48,6.908634892009145,8.080695515607518,0.0,0.0,1,0,0,0
2017-01-03,1000.88,52707,48654770.0,3231.48,6.908634892009145,8.080695515607518,0.0,0.0,1,0,0,0
2017-01-04,1000.88,5,477.0,3239.62,6.908634892009145,8.083211317957458,0.0,0.25158023499400883,1,0,0,0
2017-01-05,1000.88,6380,21577160.0,3239.62,6.908634892009145,8.083211317957458,0.0,0.0,1,0,0,0
2017-01-06,1000.88,0,0.0,3239.62,6.908634892009145,8.083211317957458,0.0,0.0,1,1,1,0
2017-01-09,1000.88,17153,17324530.0,3239.62,6.908634892009145,8.083211317957458,0.0,0.0,1,0,0,0
2017-01-10,1000.88,31766,25115410.0,3243.89,6.908634892009145,8.084528505905764,0.0,0.13171879483060422,1,0,0,0
2017-01-11,1001.67,10067,3893163.0,3243.89,6.909423886082683,8.084528505905764,0.07889940735381629,0.0,0,0,0,0
2017-01-12,1000.51,26394,42540000.0,3243.89,6.908265148976337,8.084528505905764,-0.11587371063459528,0.0,0,0,0,0
2017-01-13,1002.77,46671,87919230.0,3243.89,6.910521449602095,8.084528505905764,0.2256300625758101,0.0,0,0,0,0
2017-01-16,1002.77,1007320,18941707.0,3243.89,6.910521449602095,8.084528505905764,0.0,0.0,1,0,0,0
2017-01-17,1002.77,71820,71820.0,3251.06,6.910521449602095,8.086736375993334,0.0,0.2207870087570285,1,0,0,0
2017-01-18,1002.77,0,0.0,3251.06,6.910521449602095,8.086736375993334,0.0,0.0,1,1,1,0
2017-01-19,1002.77,0,0.0,3251.06,6.910521449602095,8.086736375993334,0.0,0.0,1,1,1,0
2017-01-20,1002.77,398174,623833700.0,3251.06,6.910521449602095,8.086736375993334,0.0,0.0,1,0,0,0
2017-01-23,1002.77,1170622,574061250.0,3251.06,6.910521449602095,8.086736375993334,0.0,0.0,1,0,0,0
2017-01-24,1002.77,709101,250289300.0,3265.54,6.910521449602095,8.09118041854039,0.0,0.4444042547055105,1,0,0,0
2017-01-25,1005.68,312475,5844685000.0,3265.54,6.913419208606576,8.09118041854039,0.2897759004480527,0.0,0,0,0,0
2017-01-26,1005.68,770,385000.0,3265.54,6.913419208606576,8.09118041854039,0.0,0.0,1,0,0,0
2017-01-27,1005.68,935,4675000.0,3265.54,6.913419208606576,8.09118041854039,0.0,0.0,1,0,0,0
2017-01-30,1005.68,6363,6905430.0,3265.54,6.913419208606576,8.09118041854039,0.0,0.0,1,0,0,0
2017-01-31,1005.68,14520,16987904.0,3280.25,6.913419208606576,8.095674917985825,0.0,0.44944994454354514,1,0,0,0
2017-02-01,1005.68,5388,5441880.0,3280.25,6.913419208606576,8.095674917985825,0.0,0.0,1,0,0,0
2017-02-02,1006.99,1835,22042600.0,3280.25,6.914720962182661,8.095674917985825,0.1301753576084863,0.0,0,0,0,0
2017-02-03,1005.11,65004,217379174.28,3280.25,6.912852267239981,8.095674917985825,-0.1868694942679383,0.0,0,0,0,0
2017-02-06,1008.05,1221747,17774380.6,3280.25,6.91577305057572,8.095674917985825,0.29207833357389745,0.0,0,0,0,0
2017-02-07,1008.05,14999,16045990.0,3294.74,6.91577305057572,8.100082536387744,0.0,0.44076184019186115,1,0,0,0
2017-02-08,1008.05,9984,10497840.0,3294.74,6.91577305057572,8.100082536387744,0.0,0.0,1,0,0,0
