date,uci,usd_uzs,trading_volume,trading_value,log_uci,log_fx,r_uci,r_fx,zero_return_uci,zero_volume_uci,zero_value_uci,post_reform
2016-09-02,1005.14,2989.64,1,5940.0,6.912882114273934,8.002908257798117,,,0,0,0,0
2016-09-09,1005.45,2994.76,1,6000.0,6.913190481472077,8.004619373782758,0.0308367198142534,0.17111159846407986,0,0,0,0
2016-09-16,1005.45,3000.25,0,0.0,6.913190481472077,8.00645089751155,0.0,0.18315237287929165,1,1,1,0
2016-09-23,1005.45,3005.11,140213,96826940.0,6.913190481472077,8.008069451956576,0.0,0.16185544450255662,1,0,0,0
2016-09-30,1007.3,3010.2,53489430,5431241856.0,6.915028762948635,8.009761800718262,0.1838281476558734,0.16923487616864463,0,0,0,0
2016-10-07,1007.92,3028.47,277417,324038280.0,6.915644080402374,8.015812820477931,0.06153174537386619,0.6051019759668819,0,0,0,0
2016-10-14,1007.93,3046.85,8021,25458340.0,6.915654001775493,8.021863549024344,0.0009921373118615406,0.6050728546412643,0,0,0,0
2016-10-21,1007.95,3065.35,176249,167233500.0,6.915673844226433,8.027917034346766,0.0019842450940110723,0.6053485322421892,0,0,0,0
2016-10-28,1007.93,3083.96,319252138,7101938860.0,6.915654001775493,8.033969764430495,-0.0019842450940110723,0.6052730083728974,0,0,0,0
2016-11-04,1008.57,3102.18,30822999,3216052954.0,6.916288765000377,8.039860369132281,0.0634763224883983,0.5890604701786373,0,0,0,0
2016-11-11,1009.18,3120.51,170767,452440234.8,6.916893398893162,8.045751728983609,0.06046338927854222,0.5891359851327493,0,0,0,0
2016-11-18,1009.14,3138.95,984654,1025684550.0,6.916853761967396,8.051643628075396,-0.003963692576558486,0.5891899091787778,0,0,0,0
2016-11-25,1009.26,3157.5,13479549,13424101756.73,6.916972668031746,8.057535854224646,0.011890606434938888,0.589222614924978,0,0,0,0
2016-12-02,1010.6,3176.16,251354,137616448.0,6.918299492857808,8.06342819893186,0.13268248260622784,0.5892344707213226,0,0,0,0
2016-12-09,1010.61,3189.93,12162356,278993077.15,6.918309387920667,8.067754251964459,0.0009895062858866766,0.4326053032599475,0,0,0,0
2016-12-16,1010.5,3203.7,2569591,393549425.8,6.918200536843676,8.07206167084561,-0.010885107699110108,0.43074188811509373,0,0,0,0
2016-12-23,1010.61,3217.56,8671348,348279389.64,6.918309387920667,8.076378587315057,0.010885107699110108,0.43169164694472073,0,0,0,0
2016-12-30,1000.88,3231.48,25406050,4078715115.9300003,6.908634892009145,8.080695515607518,-0.967449591152203,0.43169282924608865,0,0,0,0
2017-01-06,1000.88,3239.62,59092,70232407.0,6.908634892009145,8.083211317957458,0.0,0.25158023499400883,1,0,0,0
2017-01-13,1002.77,3243.89,132051,176792333.0,6.910521449602095,8.084528505905764,0.1886557592950311,0.13171879483060422,0,0,0,0
2017-01-20,1002.77,3251.06,1477314,642847227.0,6.910521449602095,8.086736375993334,0.0,0.2207870087570285,1,0,0,0
2017-01-27,1005.68,3265.54,2193903,6674095550.0,6.913419208606576,8.09118041854039,0.2897759004480527,0.4444042547055105,0,0,0,0
2017-02-03,1005.11,3280.25,93110,268756988.28,6.912852267239981,8.095674917985825,-0.056694136659452,0.44944994454354514,0,0,0,0
2017-02-10,1007.83,3294.74,1257722,59898660.6,6.915554783614519,8.100082536387744,0.2702516374538,0.44076184019186115,0,0,0,0
2017-02-17,1008.4,3309.35,425395,383579640.0,6.9161201953137645,8.104507074464731,0.056541169924528845,0.44245380769876164,0,0,0,0
2017-02-24,1014.99,3356.87,12559217,3375545677.0,6.922634039210606,8.11876427117807,0.6513843896841287,1.4257196713339582,0,0,0,0
2017-03-03,1014.85,3404.35,4588414,1500009550.0,6.922496097303635,8.132809304619144,-0.013794190697069553,1.404503344107333,0,0,0,0
2017-03-10,1014.85,3452.3,836394,1200898530.0,6.922496097303635,8.146795954568566,0.0,1.3986649949421448,1,0,0,0
2017-03-17,1014.85,3500.01,109609851,2021725256.0,6.922496097303635,8.160521104616281,0.0,1.3725150047715573,1,0,0,0
2017-03-24,1015.06,3548.11,591362,119495505.0,6.922703003029258,8.174170346331062,0.020690572562287457,1.3649241714780658,0,0,0,0
2017-03-31,1015.06,3595.02,240478,173683270.0,6.922703003029258,8.187304833422008,0.0,1.3134487090946223,1,0,0,0
2017-04-07,1015.0,3623.07,1744200,406562905.0,6.922643891475888,8.19507701171312,-0.005911155337035012,0.7772178291112652,0,0,0,0
2017-04-14,994.92,3650.74,7607797,1735284276.0,6.902662331916128,8.202685165753644,-1.9981559559759887,0.7608154040523729,0,0,0,0
2017-04-21,998.77,3678.89,6984,12868040.0,6.906524521911275,8.210366355228585,0.3862189995147425,0.7681189474940453,0,0,0,0
2017-04-28,998.77,3706.22,1224624,16413230.0,6.906524521911275,8.217767768278199,0.0,0.7401413049613836,1,0,0,0
2017-05-05,999.0,3734.91,891183150,1239459607.4,6.906754778648554,8.225479000891053,0.02302567372787223,0.7711232612853891,0,0,0,0
2017-05-12,993.35,3765.77,19553,62813960.0,6.9010830692140726,8.233707634595842,-0.5671709434481365,0.822863370478899,0,0,0,0
2017-05-19,1007.73,3790.0,206024,739001000.0,6.915455555608325,8.240121298076472,1.4372486394252704,0.641366348063066,0,0,0,0
2017-05-26,1007.73,3820.46,44548,84410020.0,6.915455555608325,8.248126113199021,0.0,0.8004815122548692,1,0,0,0
2017-06-02,1008.71,3846.33,152617,262510617.0,6.916427565762021,8.254874725899958,0.09720101536956349,0.6748612700937073,0,0,0,0
2017-06-09,1009.04,3874.48,218670,496252227.76,6.916754662778938,8.262166739234301,0.03270970169166887,0.7292013334343039,0,0,0,0
2017-06-16,1003.22,3903.19,33201,64067369.0,6.910970105884079,8.269549446497935,-0.5784556894858461,0.7382707263634103,0,0,0,0
2017-06-23,1003.96,3930.91,22322613,6796387905.0,6.911707458820565,8.276626230222092,0.07373529364862463,0.707678372415721,0,0,0,0
2017-06-30,1003.95,3958.56,2289982,595650466.0,6.911697498214761,8.283635601753154,-0.0009960605804160139,0.7009371531061959,0,0,0,0
2017-07-07,1003.84,3986.55,100451578,10452965017.0,6.911587925002314,8.29068147419426,-0.010957321244742246,0.7045872441105772,0,0,0,0
2017-07-14,1004.81,4014.5,2503874,219959937.0,6.9125537478937105,8.29766808562474,0.09658228913966838,0.6986611430479073,0,0,0,0
2017-07-21,998.61,4042.47,10664200,1175618150.0,6.906364312035996,8.304611170273446,-0.6189435857714365,0.6943084648707298,0,0,0,0
