date,dataset,variable,window,q,variance_ratio,z_robust,p_robust,reject_5pct_robust
2018-10-03,daily_uci,r_uci,500,4,0.9941302396365607,-0.06656966774882582,0.9469242937922149,False
2018-10-04,daily_uci,r_uci,500,4,0.8950917215135863,-1.278944428335031,0.2009166258789079,False
2018-10-05,daily_uci,r_uci,500,4,0.9159710120968894,-0.9802793694773846,0.3269482354562281,False
2018-10-08,daily_uci,r_uci,500,4,0.9521146143321263,-0.5586467273623889,0.5764028431333266,False
2018-10-09,daily_uci,r_uci,500,4,0.9932196452462599,-0.07508953369273882,0.9401434752182121,False
2018-10-10,daily_uci,r_uci,500,4,1.0144764654787186,0.16032009870481173,0.872628927173642,False
2018-10-11,daily_uci,r_uci,500,4,1.0277961445684458,0.30770602799199626,0.7583060324703228,False
2018-10-12,daily_uci,r_uci,500,4,1.0413675884435574,0.4579526842720145,0.646986435138631,False
2018-10-15,daily_uci,r_uci,500,4,1.0409501776527421,0.4534873066278568,0.6501978815190776,False
2018-10-16,daily_uci,r_uci,500,4,1.0413193541481567,0.4575708299275055,0.6472608044274071,False
2018-10-17,daily_uci,r_uci,500,4,1.0416326032087377,0.4610407152074279,0.6447693942461257,False
2018-10-18,daily_uci,r_uci,500,4,1.0408819116832948,0.4532014915379142,0.6504036585350168,False
2018-10-19,daily_uci,r_uci,500,4,1.0405302306207502,0.4497654693682716,0.6528795587309175,False
2018-10-22,daily_uci,r_uci,500,4,1.0403713579888194,0.4480563559859463,0.6541125249082345,False
2018-10-23,daily_uci,r_uci,500,4,1.0355580811878997,0.396019218046024,0.6920908508588084,False
2018-10-24,daily_uci,r_uci,500,4,1.0361754406953758,0.402949395624907,0.6869854521642575,False
2018-10-25,daily_uci,r_uci,500,4,1.0380927372899351,0.4242793156820711,0.6713621223096096,False
2018-10-26,daily_uci,r_uci,500,4,1.0393806766576594,0.4386234681318456,0.660934389402148,False
2018-10-29,daily_uci,r_uci,500,4,1.0386657549098368,0.43101219583518113,0.6664595027452545,False
2018-10-30,daily_uci,r_uci,500,4,1.0382525419057091,0.4266256094974527,0.6696520416411806,False
2018-10-31,daily_uci,r_uci,500,4,1.0370973249150095,0.4140212270809167,0.6788585611339033,False
2018-11-01,daily_uci,r_uci,500,4,1.037025443244857,0.4131940470436825,0.679464449258125,False
2018-11-02,daily_uci,r_uci,500,4,1.0374001652674214,0.4173689382373388,0.6764085711517176,False
2018-11-05,daily_uci,r_uci,500,4,1.0383226118817925,0.42768918992216687,0.6688774212115076,False
2018-11-06,daily_uci,r_uci,500,4,1.0269990929061363,0.3056554837908534,0.7598669708525918,False
